,Fecha
1198,2016-11-06
1199,2016-06-18
1200,2016-06-25
1201,2016-02-07
1202,2016-09-07
1203,2016-07-16
1204,2016-07-23
1205,2016-07-30
1206,2016-06-08
1207,2016-08-13
1208,2016-08-20
1209,2016-08-27
1210,2016-03-09
1211,2016-10-09
1212,2016-09-17
1213,2016-09-24
1214,2016-01-10
1215,2016-08-10
1216,2016-10-15
1217,2016-10-22
1218,2016-10-29
1219,2016-05-11
1220,2016-12-11
1221,2016-11-19
1222,2016-11-26
1223,2016-03-12
1224,2016-10-12
1225,2016-12-17
1226,2016-12-24
1227,2016-12-31
1228,2017-07-01
1229,2017-01-14
1230,2017-01-21
1231,2017-01-28
1232,2017-04-02
1233,2017-11-02
1234,2017-02-18
1235,2017-02-25
1236,2017-04-03
1237,2017-11-03
1238,2017-03-18
1239,2017-03-25
1240,2017-01-04
1241,2017-08-04
1242,2017-04-15
1243,2017-04-22
1244,2017-04-29
1245,2017-06-05
1246,2017-05-13
1247,2017-05-20
1248,2017-05-27
1249,2017-03-06
1250,2017-10-06
1251,2017-06-17
1252,2017-06-24
1253,2017-01-07
1254,2017-08-07
1255,2017-07-15
1256,2017-07-22
1257,2017-07-29
1258,2017-05-08
1259,2017-12-08
1260,2017-08-19
1261,2017-08-26
1262,2017-02-09
1263,2017-09-09
1264,2017-09-16
1265,2017-09-23
1266,2017-09-30
1267,2017-07-10
1268,2017-10-14
1269,2017-10-21
1270,2017-10-28
1271,2017-04-11
1272,2017-11-11
1273,2017-11-18
1274,2017-11-25
1275,2017-02-12
1276,2017-09-12
1277,2017-12-16
1278,2017-12-23
1279,2017-12-30
1280,2018-06-01
1281,2018-01-13
1282,2018-01-20
1283,2018-01-27
1284,2018-03-02
1285,2018-10-02
1286,2018-02-17
1287,2018-02-24
1288,2018-03-03
1289,2018-10-03
1290,2018-03-17
1291,2018-03-24
1292,2018-03-31
1293,2018-07-04
1294,2018-04-14
1295,2018-04-21
1296,2018-04-28
1297,2018-05-05
1298,2018-12-05
1299,2018-05-19
1300,2018-05-26
1301,2018-02-06
1302,2018-09-06
1303,2018-06-16
1304,2018-06-23
1305,2018-06-30
1306,2018-07-07
1307,2018-07-14
1308,2018-07-21
1309,2018-07-28
1310,2018-04-08
1311,2018-11-08
1312,2018-08-18
1313,2018-08-25
1314,2018-01-09
1315,2018-08-09
1316,2018-09-15
1317,2018-09-22
1318,2018-09-29
1319,2018-06-10
1320,2018-10-13
1321,2018-10-20
1322,2018-10-27
1323,2018-03-11
1324,2018-10-11
1325,2018-11-17
1326,2018-11-24
1327,2018-01-12
1328,2018-12-15
1329,2018-12-22
1330,2018-12-29
1331,2019-05-01
1332,2019-12-01
1333,2019-01-19
1334,2019-01-26
1335,2019-02-02
1336,2019-09-02
1337,2019-02-16
1338,2019-02-23
1339,2019-02-03
1340,2019-09-03
1341,2019-03-16
1342,2019-03-23
1343,2019-03-30
1344,2019-06-04
1345,2019-04-13
1346,2019-04-20
1347,2019-04-27
1348,2019-04-05
1349,2019-11-05
1350,2019-05-18
1351,2019-05-25
1352,2019-01-06
1353,2019-08-06
1354,2019-06-15
1355,2019-06-22
1356,2019-06-29
1357,2019-06-07
1358,2019-07-13
1359,2019-07-27
1360,2019-03-08
1361,2019-10-08
1362,2019-08-17
1363,2019-08-24
1364,2019-08-31
1365,2019-07-09
1366,2019-09-14
1367,2019-09-21
1368,2019-09-28
1369,2019-05-10
1370,2019-12-10
1371,2019-10-19
1372,2019-10-26
1373,2019-02-11
1374,2019-09-11
1375,2019-11-16
1376,2019-11-23
1377,2019-11-30
1378,2019-07-12
1379,2019-12-14
1380,2019-12-21
1381,2019-12-28
1382,2020-04-01
1383,2020-11-01
1384,2020-01-18
1385,2020-01-25
1386,2020-01-02
1387,2020-08-02
1388,2020-02-15
1389,2020-02-22
1390,2020-02-29
1391,2020-07-03
1392,2020-03-14
1393,2020-03-21
1394,2020-03-28
1395,2020-04-04
1396,2020-11-04
1397,2020-04-18
1398,2020-04-25
1399,2020-02-05
1400,2020-09-05
1401,2020-05-16
1402,2020-05-23
1403,2020-05-30
1404,2020-06-06
1405,2020-06-13
1406,2020-06-20
1407,2020-06-27
1408,2020-04-07
1409,2020-11-07
1410,2020-07-18
1411,2020-07-25
1412,2020-01-08
1413,2020-08-08
1414,2020-08-15
1415,2020-08-22
1416,2020-08-29
1417,2020-05-09
1418,2020-12-09
1419,2020-09-19
1420,2020-09-26
1421,2020-03-10
1422,2020-10-10
1423,2020-10-17
1424,2020-10-24
1425,2020-10-31
1426,2020-07-11
1427,2020-11-14
1428,2020-11-21
1429,2020-11-28
1430,2020-05-12
1431,2020-12-12
1432,2020-12-19
1433,2020-12-26
1434,2021-02-01
1435,2021-09-01
1436,2021-01-16
1437,2021-01-23
1438,2021-01-30
1439,2021-06-02
1440,2021-02-13
1441,2021-02-20
1442,2021-02-27
1443,2021-06-03
1444,2021-03-13
1445,2021-03-20
1446,2021-03-27
1447,2021-03-04
1448,2021-10-04
1449,2021-04-17
1450,2021-04-24
1451,2021-08-05
1452,2021-05-15
1453,2021-05-22
1454,2021-05-29
1455,2021-05-06
1456,2021-12-06
1457,2021-06-19
1458,2021-06-26
1459,2021-03-07
1460,2021-10-07
1461,2021-07-17
1462,2021-07-24
1463,2021-07-31
1464,2021-08-14
1465,2021-08-21
1466,2021-08-28
1467,2021-04-09
1468,2021-11-09
1469,2021-09-18
1470,2021-09-25
1471,2021-02-10
1472,2021-09-10
1473,2021-10-16
1474,2021-10-23
1475,2021-10-30
1476,2021-06-11
1477,2021-11-13
1478,2021-11-20
1479,2021-11-27
1480,2021-04-12
1481,2021-11-12
1482,2021-12-18
1483,2022-08-01
1484,2022-01-15
1485,2022-01-22
1486,2022-01-29
1487,2022-05-02
1488,2022-12-02
1489,2022-02-19
1490,2022-02-26
1491,2022-05-03
1492,2022-12-03
1493,2022-03-19
1494,2022-03-26
1495,2022-02-04
